That you lusted not this night any supper make.	--+---+--+-+
They caught their speares, their horses ran, as though there	-+-+-+-+-+-
The life so short, so frail, that mortal men live here.	-+-+-+-+-+-+
A knight there was, and that a worthy man.	-+-+-+-+-+
For want of will in woe I plain.	-+-+-+-+
For women are shrews, both short and tall.	-+--+-+-+
And yet there is another between those heavens two.	-+-+-+----+-+
Se settled he his kingdom and confirmd his right.	--+-+-+-+-+-+
And I should have it as me list.	-+-+-+-+
And he was clad in coote and hood of grene.	-+-+-+-+-+
Had cast him out from Heaven with all his host.	-+-+-+--+-+
Had shook his throne. What though the field be lost?	-+-+-+-+-+
Brought death into the world and all our woe.	-+-+-+-+--+
Good my Lord, give me thy favour still.	+-+-+-+-+
Enhastyng him, til he was at large.	-+-++-+-+
For why this is more then that cause is.	-+-+-+-+-
Love, that l i v e th and reigneth in my thought,	-+---+---+-+-+
My own love, my only dear. Moore.	-++-+-+-
Morning, evening, noon and night	+-+-+--
Mildly doth flow along the fruitful fields.	+--+-+-+-+
Shrouding themselves under the desert shore.	+--++--+-+
My comaundement that keeps truly, and after it will do.	--+-+-+-+-+-+-+
I beseech your Graces both to pardon me.	--+-+-+-+-+
By thy long grey beard and glittering eye.	--+-+-+--+
My will confirm with the spirit of steadfastness.	-+-+--+--+-+
But then we'll try what these dastard Frenchmen dare.	-+-+--+-+-+
In Wessex was than a king, his name was Sir Ine.	-+--+-+-++-+
With hidden help or vantage, or that with both.	-+-+-+--+-+
But this deliver'd, he saw the armies join.	-+-+--+-+-+
For if my husband take you, and take you thus.	-+-+-+--+-+
By vision found thee in the Temple, and spake.	-+-+-+-+--+
Have filled their vials with salutary wrath.	-+-+--+-+-+
Or who can tell thy loss, if thou mayst once recover.	-+-+-+-+-+-+-
Lie there, my art. Wipe thou thine eyes; have comfort.	---++----+-
Nothing at all! I'll teach you to be treacherous.	---+-+-+----
No, Sir, I dare not leave her to that solitariness.	+--+---+-+----
My lute awake, perform the last	-+-+-+-+
Me need not long for to beseech	-+-+-+-+
There are a sort of men, whose visages	-+-+-+-+-+
Do cream and mantle like a standing pond.	-+-+-+-+-+
And he was clad in cote and hood of grene:	-+-+-+-+-+
Which hope I keep full sure in me,	-+-+-+-+
As he, that all my comfort is.	-+-+-+-+
On you alone, which are my bliss, c.	-+---+-+-
That like would not for all this worldes wealth.	-+-+-+-+-
I wail, I wail, and certes that is true.	-+-+-----+
Or do him mightier service as his thralls.	-+-+--+-+-+
Now less than smallest dwarfs, in narrow room.	-+-+-+-+-+
Wan Sculptor, weepest thou to take the cast?	-+-+-+-+-+
To woe a maid in way of marriage.	-+-+-+-++
The very churches are full of soldiers.	-+-+--+-+-
But Brutus says he was ambitious.	-+-+-+-++
Oh! happy are they that have forgiveness gott.	-+--+-+-+-+
My king, my country I seek, for whom I live.	-+-+--+-+-+
Sorry am I to hear what I have heard.	+--+-+-+-+
Mowbray's sins so heavy in his bosom.	+-+-+-+-+-
Than had your tale al be told in vayn.	-++++-+-+
I'll pray a thousand prayers for thy death.	-+-+-++--
And next that sawgh I how V e n u s,	-+-+-+---+-
And how he fled, and how that he	-+-+-+-+
Escaped was from al the pres,	-++-+-+
But come thou Goddess fair and free,	-+-+-+-+
And by men heart-easing Mirth,	+-++--+
Whom lovely Venus, at a birth,	-+-+-+-+
With two sister Graces more,	+-+-+-+
To ivy-crowned Bacchus bore, c.	-+-++-+-
Whiles the landscape round it measures.	+-+-+-+-
To behold the wandering moon,	+-+-+--+
Riding near the highest noon;	+-+-+-+
There shrinks no ebb in that tideless sea,	-+-+--+-+
So that wildest of waves, in their angriest mood,	--+--+--+--+
Scarce break on the bounds of the land for a rood;	-+--+--+--+
And the powerless moon beholds them flow	--+--+-+-+
Calm or high, in main or bay,	+-+-+-+
On their course she hath no sway.	+-+-+-+
For all the cost	-+-+
That all the ways	-+-+
Sir Harry Perssy cam to the walles,	-+-+----+
Mark well my heavy doleful tale,	-+-+-+-+
A gallant lady's fall.	-+-+-+
Occasioned thus: Chryses the priest came to the fleet to	-+-++--++--+-
To plague the army, and to death by troops the soldiers	-+-+-+-+-+-+-
But if thou wilt be safe begone. This said, the sea-beat	-+-+-+-+-+-+-
All men in one arose and said: Atrides, now I see.	-+-+-+-+-++-+
With Pegasus upon a day,	-+-+-+-+
Through frosty hills the journey lay,	-+-+-+-+
On foot the way was plying.	-+-+-+-
It is an ancient Mariner, And he stoppeth one of three:	-+-+-+-+----+-+
For to my fader I weynd, for more then I is he,	-+-+--+-+-+-+
That ye may trow when it is done, for certes, I may noght now	-+-+-+-+-+--+-+
O let me breathe a while, and hold thy heavy hand,	-+-+-+-+-+-+
My grievous faults with shame enough I understand.	-+-+-+-+-+-+
Take ruth and pity on my plaint, or else I am forlorn;	-+-+-+-+-+-+-+
Let not the world continue thus in laughing me to scorn.	-+-+-+-+-+-+-+
Madam, if I be he, to whom you once were bent,	+--+-+-+-+-+
With whom to spend your time sometime you were content:	-+-+-+-+-+--
Be able to recover this forpassed negligence,	-+-+-+-+-++-+
O, help me now poor wretch in this most heavy plight,	-+-+-+-+-+-+
And furnish me yet once again with Tediousness to fight.	-+-+-+-+-+-+-+
In winter's just return, when Boreas gan his reign,	-+---+-+--+-+
And every tree unclothed fast, as Nature taught them plain:	-+--+-++-+-+-+
In misty morning dark, as sheep are then in hold,	-+-+-+-+-+-+
I hied me fast, it sat me on, my sheep for to unfold.	-+-+-+-+-+-+-+
c. After Ethelbert com Elfrith his brother,	-+-+-+-++-+-
How many seek, that come too short of their desire:	-+-+-+-+-+-+-
How many do attempt, that daily do retire.	-+-+-+-+-+-+
How many rove about the mark on every side:	-+-+-+-+-+--+
How many think to hit, when they are much too wide:	-+---+-+---+
How few to good effect their travail do bestow! c.	-+-+-+-+-+-+-
Where heat kills not the cold, nor cold expels the heat,	-+-+-+-+-+-+
The calms too mildly small, nor winds too roughly great, c.	-+-+-+-+-+-+-
Wise genius, by thy help that so I may descry.	-+-+-+-+-+-+
That such a cursed creature lives so long a space.	-+-++-+-+-+
Upon his foe, a Dragon, horrible and stearne.	-+-+-+-+-+-+
Our morning's gay and shining,	--+-+-+-
The days our joys declare;	-+--+-+
And night's all void of care.	-+-+-+
A fond transported mother	-+-+-+-
Was often heard to cry,	-+-+-+
Oh, where is such another	-+-+-+-
So bless'd by Heaven as I? c.	-+-+--+-
wrecful, as is assumed by Ten Brink, with the omission of an	++--------------
Like to the adder with venomous herbes fed.	+--+--+--++
His tale with us did purchase credit; some	-+-+-+-+-+
Trapt by deceit; some forced by his tears.	+--+-++-+
But now the wounded Queen, with heavy care,	-+-+-+-+--
Surprised with blind flame; and to her mind	-++-+-+-+
Gan eke resort the prowess of the man,	-+-+-+-+-+
And honour of his race: while in her breast	-+-+-++--+
Imprinted stack his words, and pictures form.	-+-+-+-+-+
Ne to her limbs care granteth quiet rest.	+--+-+-+-+
The next morrow, with Phoebus' lamp the earth	-++--+-+-+
Alighted clear; and eke the dawning day	-+-+-+-+-+
The shadows dark gan from the pole remove:	-+-+-+-+-+
When all unsound, her sister of like mind	-+-+-+-+-+
Thus spake she to: O! Sister Anne, what dreams	+--+-+-+-+
Be these, that me tormented thus affray?	-+-+-+-+-+
What new guest is this, that to our realm is come?	--+-+-+--+-+
What one of cheer? how stout of heart in arms?	+--+-+-+-+
Truly I think ne vain is my belief	+--+-+-+-+
Ah, sacred Mahomet, thou that hast seen	+--+--+---
But still the ports were shut: villain, I say.	-+-+-++--+
They say, we are a scattered nation. Jew of M. I, Sc. i.	-+-+-+-++------
And well deserving? Yet I knew her for	-+-+-+-+-+
Upon this ground; and more it would content me.	-+-+-+-+-+-
Having God, her conscience, and these bars against me.	--+-+-+-+-+-
Then is he more beholding to you than I.	+--+-+--+-+
Put in their hands thy bruising irons of wrath.	+--+-+-+--+
My surveyor is false; the o'ergreat cardinal.	--+--+-+-+-+
The king would speak with Cornwall: the dear father.	-+-+-+--++-
Stay! the king has thrown his warder down.	+-+-+-+-+
Upon your Grace's part; black and fearful.	-+-+--+-+-
By the wrongs I suffer and the blows I bear.	--+-+---+-+
I should kick, being kick'd; and, being at that pass,	--+--+-+---+
You would keep from my heels and beware of an ass.	--+--+--+--+
May answer my good will and your good welcome here.	-+---+---+-+
Thou wouldst have changed thy face for a name, or thy name	-----+--+--+
Swifter than the moon's sphere;	+-+-++
And I serve the fairy queen,	+-+-+-+
To dew her orbs upon the green, c.	-+-+-+-+-
In penalty alike; and tis not hard, I think,	-+-+-+---+-+
For men so old as we to keep the peace.	-+-+-+-+-+
And pity tis you lived at odds so long.	-+-+-+-+-+
But now, my lord, what say you to my suit?	-+-+-+-+-+
My child is yet a stranger in the world;	---+-+-+-+
She has not seen the change of fourteen years:	-+-+-+-+-+
Let two more summers wither in their pride,	-+-+-+-+-+
Ere we may think her ripe to be a bride.	+--+-+-+-+
The earth hath swallow'd all my hopes but she,	-+-+-+-+-+
She is the hopeful lady of my earth:	+--+-+-+++
But woo her, gentle Paris, get her heart,	-+-+-+-+-+
My will to her consent is but a part; c.	-+-+-+-+-+-
Put the wild waters in this roar, allay them.	+--+-+-+-+-
The sky, it seems, would pour down stinking pitch,	-+-+-+-+-+
But that the sea, mounting to the welkin's cheek,	+--++---+-+
Dashes the fire out. O, I have suffered	+--+-++--+-
With those that I saw suffer: a brave vessel,	-++--+--++-
Who had, no doubt, some noble creature in her,	-+-+-+-+-+-
Dash'd all to pieces. O, the cry did knock	-+-+-+-+-+
Against my very heart. Poor souls, they perish'd.	-+-+-+-+-+-
Had I been any god of power, I would	-+-+-+-+--+
Have sunk the sea within the earth, or ere	-+-+-+-+-+
It should the good ship so have swallow'd and	-+-+-+-+-+
I have done nothing but in care of thee,	+--+-+-+-+
Of thee, my dear one, thee, my daughter, who	-+-+-+-+-+
Art ignorant of what thou art, nought knowing	-+-+-+-+-+-
Of whence I am, nor that I am more better	-+-++--+-+-
Than Prospero, master of a full poor cell,	-+--+-+-+-+
And thy no greater father.	-+-+-+-
Did never meddle with my thoughts. c.	-+-+-+-+-
Sir Peter Tub was his father, a saltpetre man.	-+-+--+---++
They are too high a meat that way, they run to jelly.	---+-+-+-+---
A coach and four horses cannot draw me from it.	-+--+-+-+-+-
This was hard fortune; but if alive and taken.	+--+--+-+-+-
And let some letters to that end be feign'd too.	-+++-+-+-++
That spirits have no sexes, I believe not.	-+-+-+---++
Here's one should thunder to them! will you tell me?	-+-+-+---+-
Thou hast no hope to scape; He that dares most,	-+-+-++--+
And damns away his soul to do thee service,	-+-+-+-+-+-
Will sooner fetch meat from a hungry lion,	++--++-+-+-
Than come to rescue thee; thou'st death about thee.	-+-+-+-+-+-
And, of a lovely rose, left thee a canker?	+--+-++--+-
And so pull'd on the gods, that in their justice	-+-+-++--+-
They must restore him flesh again, and life,	-+-+-+-+-+
And raise his dry bones to revenge his scandal.	-+-+++-+-+-
Nothing but sad thoughts in her breast do dwell:	+--+++-+-+
Methinks, a mean betwixt you would do well.	-+-+-+-+-+
But I could run my country. I love, too,	-+-+-+-+-+
To do those things that people in love do.	-+-+-+-+-+
It were a fitter hour for me to laugh,	-+-+-+--+-+
When at the altar the religious priest	-+-+-+-+-+
With sacrifice, than now. This should have been	-+-+-++--+
My night; and all your hands have been employ'd	-+-+-+-+-+
In giving me a spotless offering	-+-+-+-+-+
To young Amintor's bed, as we are now	-+-+-+-+-+
For you. Pardon, Evadne; would, my worth	-++--+-+-+
Were great as yours, or that the king, or he,	-+-++--+-+
Or both thought so! Perhaps, he found me worthless:	-+-+-+-+-+-
But, till he did so, in these ears of mine,	-+-+-+-+-+
These credulous ears, he pour'd the sweetest words	-+--+-+-+-+
That art or love could frame. If he were false,	-+-+-++--+
Pardon it Heaven! and if I did want	+--+-+-+-+
Virtue, you safely may forgive that too;	+--+-+-+-+
For I have lost none that I had from you.	-+-++--+-+
In which the duke is not his own, but hers:	-+-+-+-+-+
Nay, every day, indeed, he is her creature,	-+--+-+-+-+-
For never man so doated; but to tell	-+-+-+-+-+
The tenth part of his fondness to a stranger,	-+-+-+---+-
She's constant to his bed, and well deserves	-+-+-+-+-+
His largest favours. But, when beauty is	-+-+-+-+--
Stamp'd on great women, great in birth and fortune,	+--+-+-+-+-
And blown by flatterers greater than it is,	-+-+--+-+-+
Tis seldom unaccompanied with pride;	-+-+-+-+-+
Nor is she that way free: presuming on	-+-+-+-+-+
The duke's affection, and her own desert,	-+-+-+-+-+
She bears herself with such a majesty,	-+-+-+-+-+
Looking with scorn on all as things beneath her,	+--+-+-+-+-
That Sforza's mother, that would lose no part	-+-+-+-+-+
Of what was once her own, nor his fair sister,	-+-+-+-+-+-
A lady too acquainted with her worth,	-+-+-+-+-+
Will brook it well; and howsoe'er their hate	-+-+-++-+
We there shall see all bravery and cost,	-+-+-+-+-+
Back to the gates of Heaven; the sulphurous hail.	+--+-+--+--+
Now Morn, her rosy steps in the eastern clime	-+-+-+--+-+
Advancing, sowed the earth with orient pearl,	-+-+-+-+--+
And temperate vapours bland, which the only sound	-+-+-+--+-+
Lightly dispersed, and the shrill matin song	+--++--+-+
Of birds on every bough. So much the more	-+-+--+-+-+
His wonder was to find unwakened Eve,	-+-+-+-+-+
As through unquiet rest. He, on his side	-+-+-++--+
Leaning half raised, with looks of cordial love	+--+-+-+-+
Beauty which, whether waking or asleep,	+--+-+-+-+
Shot forth peculiar graces; then, with voice	-+-+-+-+-+
Mild as when Zephyrus on Flora breathes,	+--+-+-+-+
Her hand soft touching, whispered thus: Awake,	-+-+-+-+-+
My fairest, my espoused, my latest found,	-+-+-+-+-+
Heaven's last best gift, my ever-new delight!	--+-+-+-+-+
Awake! the morning shines, and the fresh field	-+-+-++--+
Calls us; we lose the prime to mark how spring	+--+-+-+-+
Our tended plants, how blows the citron grove,	--+-+-+-+-+
What drops the myrrh, and what the balmy reed,	-+-+-+-+-+
How Nature paints her colours, how the bee	-+-+-+-+-+
Sits on the bloom extracting liquid sweet.	+--+-+-+-+
Go bid our moving Plains of Sand lie still,	-+--+-+-+-+
And stir not, when the stormy South blows high:	-+-+-+-+-+
From top to bottom thou hast toss'd my Soul,	-+-+-+-+-+
And now tis in the madness of the Whirl.	-+-+-+---+
To raise disturbance in your Sacred Breast.	-+-+-+-+-+
Nor durst offend my Love, but that Presumption...	-+-+-+-+-+-
No Priest, no Ceremonies of their Sect:	-+-+-+-+-+
How cou'd our Prophet do an act so base,	+---+-+-+-+
So to resume his Gifts, and curse my Conquests,	+--+-+-+-+-
By making me unhappy! No, the Slave	-+-+-+-+-+
That told thee so absurd a story, ly'd.	-+-+-+-+-+
From brightening fields of ether fair disclos'd,	-+--+-+-+-+
Child of the sun, refulgent Summer comes,	+--+-+-+-+
In pride of youth, and felt through nature's depth:	---+-+-+-+
He comes attended by the sultry hours,	-+-+-+-+-+-
And ever-fanning breezes, on his way;	-+-+-+-+-+
While, from his ardent look, the turning Spring	+--+-+-+-+
Averts her blushful face; and earth, and skies	-+-+-+-+-+
All smiling, to his hot dominion leaves.	-+---+-+-+
Hence let me haste into the mid-wood shade,	+--+-+-+-+
Where scarce a sun-beam wanders through the gloom;	-+-+-+---+
And on the dark-green grass, beside the brink	-+-+-+-+-+
Of haunted stream, that by the roots of oak	-+-+-+-+-+
Rolls o'er the rocky channel, lie at large,	+--+-+-+-+
And sing the glories of the circling year.	-+-+-+-+--+
Scarce two hundred years are gone, and the world is past away	+-+-+-++-+-+-+
As a noise of brawling wind, as a flash of breaking foam,	+-+-+-++-+-+-+
That beheld the singer born who raised up the dead of Rome;	+-+-+-++-+-+-+
And a mightier now than he bids him too rise up to-day;	+-+--+-++-+-+-+
Hasten, Lord, who art my Helper; let thine aid be speedy.	+-+-+-+-+-+-+-
Say, but did you love so long?	+-+-+-+
In truth I needs must blame you:	-+-+-+-
Or want of reason shame you.	-+-+-+-
Clear the way, my lords and lackeys, you have had your day.	+-+-+-+-+-+-+
Long enough your house has held you: up, and clear the way!	+-+-+-+---+-+
And am like to love three more, if it prove fair weather.	+-+-+-++-+-+-
Day by day thy shadow shines in heaven beholden,	+-+-+-+-+--+-
Even the sun, the shining shadow of thy face:	+--+-+-+-+-+
King, the ways of heaven before thy feet grow golden;	+-+-+--+-+-+-
God, the soul of earth is kindled with thy grace.	+-+-+-+-+-+
But to be lost when sweetest.	---+-+-
While I touch the string,	+-+-+
For the tale I sing	+-+-+
Has for once a moral.	+-+-+-
O ye voices round my own hearth singing!	+-+-+-+-+-
As the winds of May to memory sweet,	+-+-+-+--+
Might I yet return, a worn heart bringing,	+-+-+-+-+-
Would those vernal tones the wanderer greet?	+-+-+-+--+
Long continuance, and increasing,	+-+--+-+-
Juno sings her blessings on you, c.	+-+-+-+--
Love, whose month is ever May,	+-+-+-+
Spied a blossom passing fair	+-+-+-+
Playing in the wanton air.	+-+-+-+
Youth is full of sport,	+++-+
Age's breath is short.	+-+-+
Swell with praise, c.	+-+-
Gone, O gentle heart and true,	+-+-+-+
Friend of hopes forgone,	+-+-+
Hopes and hopeful days with you,	+-+-+-+
The hawthorn trees blow in the dews of the morning,	-+--+--+--+-
For a day and a night Love sang to us, played with us,	--+--+-+--+--
Folded us round from the dark and the light, c.	+--+--+--+-
As a vision of heaven from the hollows of ocean, that none	--+--+---+--+--+
but a god might see,	--+-+
Rose out of the silence of things unknown of a presence, a	-+--+--+-+--+--
him, and may not flee.	--+-+
Ah! Chloris, tis time to disarm your bright eyes,	-+--+--+--+
And lay by those terrible glances;	--+-+--+-
We live in an age that's more civil and wise,	-+--+--+--+
Than to follow the rules of romances.	--+--+--+-
But a louder than the Church's echo thunders	--+-+-+-+-+-
In the ears of men who may not choose but hear;	--+-+-+-+-+
And the heart in him that hears it leaps and wonders,	--+-+-+-+-+-
With triumphant hope astonished, or with fear.	--+-+-+-+-+
The sea is at ebb, and the sound of her utmost word,	-+--+--+--+-+
From bay into bay, on quest of a goal deferred,	-+--+-+--+-+
Where earth gives ear to the message that all days preach.	-+-+--+--+-+
In the morning of life, when its cares are unknown,	--+--+--+--+
And its pleasures in all their new lustre begin,	--+--+--+--+
When we live in a bright-beaming world of our own,	--+--+--+---+
And the light that surrounds us is all from within.	--+--+--+--+
How meekly she blessed her humble lot,	-+--+-+-+
When the stranger William, had made her his bride,	--+-+--+--+
And love was the light of her lowly cot.	-+--+--+-+
Fine verses thy fancy to please?	++--+--+
Of many my betters that crave;	-+--+--+
Look nothing but rudeness in these.	-+--+--+
The rivers are swelling, the thunder is knelling	-+-----+--+-
The blithe swallows are flown, and the lizards each gone	--+--+--+--+
Onward and onward the highway runs to the distant city,	+--+--+-+--+-+-
Tidings of human joy and disaster, of love and of hate,	+--+-+--+--+--+
of doing and daring!	-+--+-
This life of ours is a wild aeolian harp of many a joyous	-+-+---++-+-+--+-
But under them all there runs a loud perpetual wail, as of	-+--+-+-+-+--+--
Faith alone can interpret life, and the heart that aches and	+-+--+-+--+-+-
bleeds with the stigma	+--+-
Of pain, alone bears the likeness of Christ, and can	---+-----+-+
Surely the thought in a man's heart hopes or fears	+--+--+-+-+
Now that forgetfulness needs must here have stricken	+--+--+-+-+-
Anguish, and sweetened the sealed-up springs of tears, c.	+--+--+--+-+-
Long by the willow-trees vainly they sought her,	+--+-+--+-
Wild rang the mother's screams o'er the grey water:	+--+--+--+-
Where is my lovely one? where is my daughter?	+--+--+--+-
When a man's busy, why, leisure	+--+--+-
Strikes him as wonderful pleasure.	+--+--+-
Where, in what desolate place,	+--+--+
Hide the last wreck of a name,	+--+--+
If thou should ask my love, One more unfortunate,	---+--+--+--
Could I deny thee? Weary of breath,	+--+-+--+
Jamie, come try me. Gone to her death!	+--+-+--+
Christmas is here: I am the God Thor,	+--++--+-
Winds whistle shrill, I am the War God,	+--++--+-
Icy and chill, I am the Thunderer!	+--++--+--
Little care we: Here in my Northland,	+--++--+-
Little we fear My fastness and fortress,	+--+-+--+-
Weather without, Reign I for ever!	+--++--+-
The Mahogany Tree. Rule I the nations.	--+--++--+-
Hark to the summons! Faster and faster,	+----+--+-
Come in your Chief, vassal,	+--+--
War-array, Page and groom,	+--+--
Gentles and commons. Tenant and Master.	+--+-+--+-
When I was a greenhorn and young,	-+--+--+
And wanted to be and to do,	-+--+--+
I puzzled my brains about choosing my line,	-+--+--+--+
Till I found out the way that things go.	--+--+--+
Have you seen an heiress in her jewels mounted,	+-+-+-+-+-+-
Till her wealth and she seem'd one, and she might be counted?	+-+-+-++-+-+-
Have you seen a bosom with one rose betwixt it?	+-+-+-+-+-+-
And did you mark the grateful blush, when the bridegroom fix'd it?	-+-+-+-++-+-+-
Happy is he, that from all business clear,	+--+-+-+-+
As the old race of mankind were,	+--+-+-+
And is not in the usurer's bands;	-+-+-+--+
Nor soldier-like, started with rough alarms,	-+-++--+-+
Nor dreads the sea's enraged harms, c.	-+-+-++-
Never may storm thy peaceful bosom vex,	+--+-+-+-+
And left a vision for the eye of Morn	-+-+---+-+
To laugh to scorn, c.	-+-+-
On my knees put up both little feet!	--+--+--+
White as the snow were his locks, and his cheeks as brown	+--+--+--+-+
And the great seal of the law was set like a sun on a	+--+--+-+--+--
This is the forest primeval. The murmuring pines and the	+--+--+--+--+--
Bearded with moss, and in garments green, indistinct in the	+--+--+-+--+--
Stand like Druids of eld, with voices sad and prophetic,	+-+--+-+-+--+-
Stand like harpers hoar, with beards that rest on their	+-+-+-+-+--
Loud from its rocky caverns, the deep-voiced neighbouring	+--+-+--+-+--
Speaks, and in accents disconsolate answers the wail of the	+--+--+--+--+--
In the hexameter rises the fountains silvery column,	+--+--+--+-+--+-
In the pentameter aye falling in melody back.	+--+--++--+--+
O sweet woods, the delight of solitariness!	+-+--++--+--
Where man's minde hath a freed consideration,	+-+--++--+-
Of goodnesse to receive lovely direction, c.	+-+--++--+--
Now doe I daily starve, wanting my lively foode,	+--+-++--+-+
Now doe I alwayes dye, wanting my timely mirth.	+--+++--+-+
In the month of the long decline of roses	+-+--+-+-+-
I beholding the summer dead before me,	+-+--+-+-+-
Set my face to the sea and journeyed silent, c.	+-+--+-+-+--
Hear, my beloved, an old Milesian story!	+--+---+-+-
Alas, it is no glory	-+-+-+-
May hope, chast Eve, to soothe thy modest ear	-+-+-+-+-+
Like thy own solemn springs	-+-+-+
Thy springs and dying gales.	-+-+-+
One day of dreadful occupation more,	-+-+---+-+
Shall, of their beauty, pomp, and power disrobed,	+--+-+-+--+
Like sea-birds on the sunny main,	-+-+-+-+
Rock idly in the port.	-+-+-+
Fairest and hardiest of the youths in Ceos	+--+--+-+-+
Pure as when first a child, in her child-chorus,	+--+-+-+--+
Chanting the goddess of the silver bow.	+--+-+---+
Burned for Corinna, the blue-eyed Milesian.	+-----+--+-
Beauty and wealth had the orphan.	+--+--+-
Down in yon summer vale,	+--+--
Where the rill flows,	+--+
Thus said the Nightingale	+--+--
To his loved Rose,	+--+
